Country,Feed_2013,Food_2013
Afghanistan,1536,21471
Albania,1319,6952
Algeria,8706,63455
Angola,18518,30121
Antigua and Barbuda,0,119
Argentina,15780,65063
Armenia,1313,5862
Australia,18471,43975
Austria,6823,18167
Azerbaijan,4234,15928
Bahamas,2,627
Bangladesh,6670,114184
Barbados,62,407
Belarus,20407,17445
Belgium,11068,22268
Belize,128,424
Benin,4008,12473
Bermuda,3,103
Bolivia (Plurinational State of),2488,11027
Bosnia and Herzegovina,1462,6994
Botswana,48,2224
Brazil,127479,312488
Brunei Darussalam,17,530
Bulgaria,2111,10224
Burkina Faso,90,18890
C?te d'Ivoire,1106,27057
Cabo Verde,70,651
Cambodia,1214,12421
Cameroon,4332,30520
Canada,52274,67893
Central African Republic,2,4185
Chad,207,8194
Chile,8258,24642
"China, Hong Kong SAR",199,11557
"China, Macao SAR",0,739
"China, mainland",691903,2499252
"China, Taiwan Province of",10505,30220
Colombia,12223,64621
Congo,32,5168
Costa Rica,1625,6642
Croatia,4063,7404
Cuba,8151,18823
Cyprus,789,1454
Czechia,5454,18524
Democratic People's Republic of Korea,1632,22848
Denmark,15671,11589
Djibouti,0,791
Dominica,41,138
Dominican Republic,2480,14399
Ecuador,2401,17149
Egypt,30168,131916
El Salvador,1429,6926
Estonia,1251,2613
Ethiopia,1370,66726
Fiji,138,1108
Finland,4309,11874
France,45537,120542
French Polynesia,8,404
Gabon,502,2535
Gambia,30,1408
Georgia,903,5635
Germany,60418,158473
Ghana,9756,44967
Greece,8906,23836
Grenada,28,122
Guatemala,1624,13791
Guinea,1295,11423
Guinea-Bissau,10,1220
Guyana,621,1062
Haiti,962,8204
Honduras,830,8263
Hungary,9287,14348
Iceland,214,604
India,98258,1238335
Indonesia,19062,237826
Iran (Islamic Republic of),23362,122793
Iraq,6316,30961
Ireland,7517,10643
Israel,5050,14263
Italy,32287,121163
Jamaica,338,3878
Japan,34952,153161
Jordan,2503,8477
Kazakhstan,14404,32695
Kenya,1196,47401
Kiribati,0,135
Kuwait,1044,6123
Kyrgyzstan,4085,8442
Lao People's Democratic Republic,2035,8561
Latvia,1222,3542
Lebanon,1274,7408
Lesotho,2,1801
Liberia,70,3310
Lithuania,3866,6340
Luxembourg,293,1218
Madagascar,1686,19488
Malawi,8018,17215
Malaysia,7412,31580
Maldives,0,559
Mali,1309,15737
Malta,177,826
Mauritania,177,3894
Mauritius,205,1589
Mexico,43530,166591
Mongolia,422,3280
Montenegro,346,1502
Morocco,8468,47208
Mozambique,3440,25077
Myanmar,23326,51583
Namibia,107,2693
Nepal,3135,33509
Netherlands,17983,35849
New Caledonia,51,367
New Zealand,3468,7603
Nicaragua,655,5358
Niger,1573,16267
Nigeria,72046,228877
Norway,5521,9707
Oman,331,5966
Pakistan,9511,180994
Panama,1036,4524
Paraguay,7314,8316
Peru,7284,40447
Philippines,12757,100429
Poland,39451,70616
Portugal,6445,21604
Republic of Korea,20049,77125
Republic of Moldova,3303,4643
Romania,17199,43598
Russian Federation,117021,253892
Rwanda,0,18547
Saint Kitts and Nevis,0,56
Saint Lucia,13,216
Saint Vincent and the Grenadines,63,158
Samoa,8,329
Sao Tome and Principe,0,251
Saudi Arabia,23682,35912
Senegal,76,10653
Serbia,11163,14236
Sierra Leone,1802,6144
Slovakia,2413,7709
Slovenia,795,3700
Solomon Islands,0,727
South Africa,10619,59621
Spain,56543,81051
Sri Lanka,530,20550
Sudan,664,42997
Suriname,120,632
Swaziland,114,1269
Sweden,6937,19719
Switzerland,3567,15983
Tajikistan,5549,8543
Thailand,19122,78567
The former Yugoslav Republic of Macedonia,886,3482
Timor-Leste,18,837
Togo,302,6379
Trinidad and Tobago,176,1773
Tunisia,4344,18479
Turkey,35502,145101
Turkmenistan,4972,7082
Uganda,697,40247
Ukraine,74170,79580
United Arab Emirates,2349,13095
United Kingdom,27033,122946
United Republic of Tanzania,4168,54968
United States of America,296863,641776
Uruguay,2476,5316
Uzbekistan,19934,47311
Vanuatu,12,370
Venezuela (Bolivarian Republic of),5756,39706
Viet Nam,22712,105399
Yemen,420,18325
Zambia,816,10180
Zimbabwe,262,9524
